,names,starttime,endtime
134,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.09914..DPN.453009914.2023.10.04.00.00.00.000.N.miniseed,1696377600.0,1696464000.0
135,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.10740..DPE.453010740.2023.10.20.00.00.00.000.E.miniseed,1697760000.0,1697846400.0
136,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.05338..DPN.453005338.2023.10.17.00.00.00.000.N.miniseed,1697500800.0,1697587200.0
137,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.10776..DPZ.453010776.2023.10.01.00.00.00.000.Z.miniseed,1696118400.0,1696204800.0
138,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.14972..DPN.453014972.2023.10.15.00.00.00.000.N.miniseed,1697328000.0,1697414400.0
139,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.17877..DPN.453017877.2023.10.12.00.00.00.000.N.miniseed,1697068800.0,1697155200.0
140,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.17223..DPZ.453017223.2023.10.22.00.00.00.000.Z.miniseed,1697932800.0,1698019200.0
141,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.10197..DPN.453010197.2023.10.21.00.00.00.000.N.miniseed,1697846400.0,1697932800.0
142,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.18365..DPN.453018365.2023.09.27.13.57.58.000.N.miniseed,1695823078.0,1695859200.0
143,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.03761..DPN.453003761.2023.10.07.00.00.00.000.N.miniseed,1696636800.0,1696723200.0
144,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.10916..DPZ.453010916.2023.10.18.00.00.00.000.Z.miniseed,1697587200.0,1697673600.0
145,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.15604..DPE.453015604.2023.10.09.00.00.00.000.E.miniseed,1696809600.0,1696896000.0
146,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.09769..DPE.453009769.2023.10.13.00.00.00.000.E.miniseed,1697155200.0,1697241600.0
147,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.10373..DPN.453010373.2023.10.17.00.00.00.000.N.miniseed,1697500800.0,1697587200.0
148,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.17024..DPE.453017024.2023.09.30.00.00.00.000.E.miniseed,1696032000.0,1696118400.0
149,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.05038..DPE.453005038.2023.10.13.00.00.00.000.E.miniseed,1697155200.0,1697241600.0
150,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.09304..DPZ.453009304.2023.10.26.00.00.00.000.Z.miniseed,1698278400.0,1698332926.0
151,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.10278..DPN.453010278.2023.09.30.00.00.00.000.N.miniseed,1696032000.0,1696118400.0
152,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.09515..DPN.453009515.2023.10.06.00.00.00.000.N.miniseed,1696550400.0,1696636800.0
153,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.10922..DPE.453010922.2023.10.06.00.00.00.000.E.miniseed,1696550400.0,1696636800.0
154,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.14537..DPN.453014537.2023.10.19.00.00.00.000.N.miniseed,1697673600.0,1697760000.0
155,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.14712..DPE.453014712.2023.10.02.00.00.00.000.E.miniseed,1696204800.0,1696291200.0
156,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.10898..DPN.453010898.2023.10.01.00.00.00.000.N.miniseed,1696118400.0,1696204800.0
157,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.08825..DPE.453008825.2023.09.29.00.00.00.000.E.miniseed,1695945600.0,1696032000.0
158,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.08936..DPE.453008936.2023.10.21.00.00.00.000.E.miniseed,1697846400.0,1697932800.0
159,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.17456..DPE.453017456.2023.10.02.00.00.00.000.E.miniseed,1696204800.0,1696291200.0
160,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.10197..DPE.453010197.2023.09.30.00.00.00.000.E.miniseed,1696032000.0,1696118400.0
161,/srv/beegfs/scratch/shares/cdff/DPM/miniseed_corrected/SS.10813..DPN.453010813.2023.10.11.00.00.00.000.N.miniseed,1696982400.0,1697068800.0
